date,comuna,house,new,total_area,built_area,bedrooms,bathrooms,furnished,address,description,price_uf,days_old
2020-09-10,Puente Alto,0,0,42.0,,2.0,1.0,0,"Puente Alto, Sgto Menadier 2779","Departamento ubicado en segundo piso, en plena Avenida Sargento Menadier. Dos dormitorios, 1 baño, 42 m2 de superficie útil. Tiene conexión para TV y Cable. El departamento tiene protecciones y cuenta con un estacionamiento descubierto. Colegios San Alfonso, Eyzaguirre, Fresno, San Alfonso, entre...",871.42,0
2020-09-09,Ñuñoa,0,0,70.0,,2.0,2.0,0,"Ñuñoa, Irarrázaval 1401","Depto Vista despejada 2D 2B E B *2 dormitorios con piso flotante. Principal en suit, walking closet y terraza. *2 Baños completos. *Living comedor con amplia terraza y piso de porcelanato. *Cocina Americana full equipada con conexión para lavadora. *Ubicado en Piso 12 de 20 pisos del edificio. *O...",4900.0,1
2020-09-09,Santiago,0,0,23.0,,1.0,1.0,0,"Santiago, Huérfanos","Oportunidad Inversionistas o particulares. Vendo departamento estudio, antiguo, en pleno centro de Santiago, Huérfanos/Mac-Iver, quinto piso con ascensor; no paga contribuciones. Actualmente arrendado, buen canon, buenos arrendatarios. Sin estacionamiento, ni bodega. Consulte corredora.",1575.0,1
2020-09-09,Las Condes,0,0,163.0,,3.0,4.0,0,"Santiago, Vespucio Norte","Vespucio Norte, Las Condes, Vendo confortable Departamento, finas terminaciones, piso 17, orientación norponiente, excelente ubicación, sector exclusivo y residencial. Descripción: 3 dormitorios en suite, uno de ellos con jacuzzi, 1 baño de visitas, cocina full equipada y amoblada con lavavajilla...",13500.0,1
2020-09-09,Ñuñoa,0,0,85.0,,3.0,1.0,0,"Ñuñoa, Fidias a 3 cuadras metro Ñuble","Amplio y luminoso departamento dúplex en Villa Olímpica, Cuenta con 3 dormitorios de buen tamaño con closet y piso flotante, 1 baños en excelente estado cocina tradicional amoblada y ampliada con conexión a lavadora. Living comedor con ventana grande hacia el patio interior del condominio. No se ...",3346.26,1
2020-09-09,Macul,0,0,60.0,,2.0,2.0,0,"Macul, Los Olmos a 2 cuadras futuro metro Macul","Macul, se vende departamento a pasos de avenida Macul en sector tranquilo, cerca de locomoción, colegios y comercio. Descripción: Conjunto de 3 torres, ubicado en piso 10 con vista Poniente a piscina y áreas verdes -Amplio living-Comedor con salida a terraza -Cocina amoblada y cerrada -Loggia -Do...",3346.26,1
2020-09-09,Independencia,0,0,42.0,,2.0,1.0,0,"Independencia, Aníbal Pinto","Aníbal Pinto Independencia Oportunidad para inversionistas!!! Disponible para la venta 8 departamentos desde el piso 7 con contrato de arriendo vigente con un canon de arriendo de $320.000 en Anibal Pinto con Maruri, comuna de Independencia. A una cuadra de Independencia con excelente conectivida...",2000.0,1
2020-09-09,Ñuñoa,0,0,70.0,,2.0,2.0,0,"Ñuñoa, Irarrázaval con  Hamburgo","Se vende acogedor departamento muy luminoso y con hermosa vista despejada . Cuenta con living comedor con acceso a terraza, cocina completamente amoblada y equipada con loggia. Dormitorio principal en suite con walk in closet con linda vista y salida a terraza. Segundo dormitorio con closet y amp...",5158.82,1
2020-09-09,Ñuñoa,0,0,90.0,,4.0,2.0,0,"Ñuñoa, Sócrates con Pericles","Se vende amplio departamento de 90 metros muy bien ubicado en Villa Olimpica. Cuenta con 4 dormitorios, uno en el primer piso y los otros tres en el segundo piso. Living comedor con acceso a balcón, cocina americana amoblada con cocina a gas con conexión a lavadora y calefón, 2 baños. Muy luminos...",3903.97,1
2020-09-09,Ñuñoa,0,0,73.0,,3.0,2.0,0,"Ñuñoa, Pedro Torres a 2 cuadras de Irarrazabal","Se vende acogedor departamento a dos cuadras de Plaza Ñuñoa. Cuenta con Living comedor, cocina tradicional con Logia, 1 baño completo y un segundo baño con ducha, dos dormitorios de buen tamaño con closet y uno mas pequeño. el living tiene salida a una terraza de 1 x 4 mts. El departamento esta c...",5228.53,1
2020-09-09,Providencia,0,0,71.0,,3.0,1.0,0,"Providencia, Bilbao a 2 cuadras metro Ines de Suárez",Se vende departamento en francisco Bilbao Cuenta con 3 dormitorios y un baño Cocina tradicional (cerrada) Terraza Ventanas termopanel Persianas de madera Piso flotante todo el departamento Aire acondicionado y calefacción Malla de seguridad para niños y mascotas Condominio cerrado que cuenta con ...,4357.11,1
2020-09-09,Ñuñoa,0,0,68.0,,2.0,2.0,0,"Ñuñoa, Irarrázaval con Hamburgo","Se vende departamento, en piso 5, en calle Irarrázaval esquina Hamburgo. Junto a la prefectura oriente de carabineros, a 2 cuadras de metro Plaza Egaña y a 1 de metro Ramón Cruz, cercano a bancos, supermercado, servicentros, etc. - 2 dormitorios (1 en suite con walk in closet). - 2 baños. - 68 m2...",4850.0,1
2020-09-09,Ñuñoa,0,0,66.0,,2.0,2.0,0,"Ñuñoa, Irarrázaval con Montenegro","Se vende departamento en Ñuñoa con excelente ubicación en barrio residencial muy tranquilo excelente conectividad; locomoción, ciclovías, supermercados, farmacias, teatros, entre otros. Descripción: Año de Construcción 2015-piso 25-Orientación Norte- Amplios Closet -Living-Comedor -Amplia terraza...",5900.0,1
2020-09-09,Santiago,0,0,53.0,,2.0,2.0,0,"Santiago, Rosas, Metro Santa Ana","Se vende hermoso departamento, estilo mariposa, en el corazón de Santiago, ubicado a pasos a de estación metro santa Ana. Cuenta con Living comedor, con piso de porcelanato gres y salida a terraza Cocina amoblada y equipada con campana, horno y encimera. 2 dormitorios con piso fotolaminado y clos...",3137.12,1
2020-09-09,Ñuñoa,0,0,87.0,,3.0,1.0,0,"Ñuñoa, Fidias Lo Encalada",Departamento tipo dúplex en Villa Olímpica • 87 M2 Construidos. • 3 Dormitorios de buen tamaño y luminosos • 1 Baño Completo • Cocina amoblada con pequeño comedor diario y conexión a lavadora. • Living Comedor • Piso flotante y Cerámica •Terraza Cerrada para seguridad. • Gasto Común: $ 25.000. Ap...,3346.26,1
2020-09-09,San Miguel,0,0,,,2.0,2.0,0,"San Miguel, San Miguel, Región Metropolitana","CODIGO GESCOR: 31714 Se Vende Hermoso y acogedor Departamento en San Miguel, Piso 11, Vista Poniente, Consta de Living comedor con salida a balcón, Cocina Americana Amoblada y Equipada (Encimera - Horno - Campana), 2 Dormitorios con closet , 2 baño (Incluye Instalación para lavadora en baño de pa...",2265.7,1
2020-09-08,Providencia,0,0,113.0,,3.0,2.0,0,"Providencia, 3d 2b - av r. Lyon/el vergel/las violetas","Remodelado con muy buen gusto y muy buenos materiales. Todas las ventanas son de PVC y termopanel, piso italiano artesanal en hall de entrada, pasillos, cocina y baños. Renovación de puertas y sistema eléctrico. Baños completamente remodelados. 3 Dormitorios l 2 Baños l Loggia l 1 Estacionamiento...",7990.0,2
