topic,title,dialogue_line
smalltalk,Greetings,"Hi, how are you doing?"
smalltalk,Greetings,I'm fine. How about yourself?
smalltalk,Greetings,I'm pretty good. Thanks for asking.
smalltalk,Greetings,No problem. So how have you been?
smalltalk,Greetings,I've been great. What about you?
smalltalk,Greetings,I've been good. I'm in school right now.
smalltalk,Greetings,What school do you go to?
smalltalk,Greetings,I go to PCC.
smalltalk,Greetings,Do you like it there?
smalltalk,Greetings,It's okay. It's a really big campus.
smalltalk,Greetings,Good luck with school.
smalltalk,Greetings,Thank you very much.
smalltalk,Greetings,How's it going?
smalltalk,Greetings,I'm doing well. How about you?
smalltalk,Greetings,"Never better, thanks."
smalltalk,Greetings,So how have you been lately?
smalltalk,Greetings,I've actually been pretty good. You?
smalltalk,Greetings,I'm actually in school right now.
smalltalk,Greetings,Which school do you attend?
smalltalk,Greetings,I'm attending PCC right now.
smalltalk,Greetings,Are you enjoying it there?
smalltalk,Greetings,It's not bad. There are a lot of people there.
smalltalk,Greetings,Good luck with that.
smalltalk,Greetings,Thanks.
smalltalk,Greetings,How are you doing today?
smalltalk,Greetings,I'm doing great. What about you?
smalltalk,Greetings,"I'm absolutely lovely, thank you."
smalltalk,Greetings,Everything's been good with you?
smalltalk,Greetings,I haven't been better. How about yourself?
smalltalk,Greetings,I started school recently.
smalltalk,Greetings,Where are you going to school?
smalltalk,Greetings,I'm going to PCC.
smalltalk,Greetings,How do you like it so far?
smalltalk,Greetings,I like it so far. My classes are pretty good right now.
smalltalk,Greetings,I wish you luck.
smalltalk,Greetings,Thanks a lot.
smalltalk,Weather (1),It's an ugly day today.
smalltalk,Weather (1),I know. I think it may rain.
smalltalk,Weather (1),"It's the middle of summer, it shouldn't rain today."
smalltalk,Weather (1),That would be weird.
smalltalk,Weather (1),"Yeah, especially since it's ninety degrees outside."
smalltalk,Weather (1),"I know, it would be horrible if it rained and it was hot outside."
smalltalk,Weather (1),"Yes, it would be."
smalltalk,Weather (1),I really wish it wasn't so hot every day.
smalltalk,Weather (1),Me too. I can't wait until winter.
smalltalk,Weather (1),"I like winter too, but sometimes it gets too cold."
smalltalk,Weather (1),I'd rather be cold than hot.
smalltalk,Weather (1),Me too.
smalltalk,Weather (1),It doesn't look very nice outside today.
smalltalk,Weather (1),You're right. I think it's going to rain later.
smalltalk,Weather (1),"In the middle of the summer, it shouldn't be raining."
smalltalk,Weather (1),That wouldn't seem right.
smalltalk,Weather (1),"Considering that it's over ninety degrees outside, that would be weird."
smalltalk,Weather (1),"Exactly, it wouldn't be nice if it started raining. It's too hot."
smalltalk,Weather (1),"I know, you're absolutely right."
smalltalk,Weather (1),I wish it would cool off one day.
smalltalk,Weather (1),"That's how I feel, I want winter to come soon."
smalltalk,Weather (1),"I enjoy the winter, but it gets really cold sometimes."
smalltalk,Weather (1),"I know what you mean, but I'd rather be cold than hot."
smalltalk,Weather (1),That's exactly how I feel.
smalltalk,Weather (1),I wish it was a nicer day today.
smalltalk,Weather (1),That is true. I hope it doesn't rain.
smalltalk,Weather (1),It wouldn't rain in the middle of the summer.
smalltalk,Weather (1),It wouldn't seem right if it started raining right now.
smalltalk,Weather (1),It would be weird if it started raining in ninety degree weather.
smalltalk,Weather (1),Any rain right now would be pointless.
smalltalk,Weather (1),"That's right, it really would be."
smalltalk,Weather (1),I want it to cool down some.
